Sarcastic,non_sarcastic,,,
 awww dang that really hurt my feelings darn it, dang that didn't affect my feelings darn it,"
","
","
"
 awww dang that really hurt my feelings darn it, awww dang that really hurt my feelings darn it,"
","
","
"
 awww dang that really hurt my feelings darn it, i don't care about it,"
","
","
"
 awww dang that really hurt my feelings darn it, oh no that really hurt me,"
","
","
"
 awww dang that really hurt my feelings darn it, my feelings are not hurt,"
","
","
"
 really you're doing a great job at making me feel useless and irresponsible thanks for that, really you're doing a bad job at making me feel useless and irresponsible no thanks for that,"
","
","
"
 really you're doing a great job at making me feel useless and irresponsible thanks for that, really you're doing a bad job at making me feel useless and irresponsible damned you,"
","
","
"
 really you're doing a great job at making me feel useless and irresponsible thanks for that, don't make me feel useless and irresponsible i hate it,"
","
","
"
 really you're doing a great job at making me feel useless and irresponsible thanks for that, really you are doing a bad job at making me feel useless and irresponsible,"
","
","
"
 really you're doing a great job at making me feel useless and irresponsible thanks for that, i don't like it that you are making me feel useless and irresponsible,"
","
","
"
 i didn't watch lemonade i just know that women be angry thanks jayz, i didn't watch lemonade i just know that women be angry no thanks jayz,"
","
","
"
 i didn't watch lemonade i just know that women be angry thanks jayz, i didn't watch lemonade i just know that women be angry dang jayz,"
","
","
"
 i didn't watch lemonade i just know that women be angry thanks jayz, jayz why did you make her angry ?,"
","
","
"
 i didn't watch lemonade i just know that women be angry thanks jayz, i watched lemonade and realized women s anger no thanks to jayz,"
","
","
"
 i didn't watch lemonade i just know that women be angry thanks jayz, i didn't watch lemonade i just know that women be angry look what you've done jayz,"
","
","
"
 it's nice seeing how racist the us is becoming, it so bad seeing how racist the us is becoming,"
","
","
"
 it's nice seeing how racist the us is becoming, it's bad seeing how racist the us is becoming,"
","
","
"
 it's nice seeing how racist the us is becoming, it's horrible seeing how racist the us is becoming,"
","
","
"
 it's nice seeing how racist the us is becoming, it s annoying seeing how racist the us is becoming,"
","
","
"
 it's nice seeing how racist the us is becoming, it sucks seeing how racist the us is becoming,"
","
","
"
 panic attacks rock, panic attacks don't rock,"
","
","
"
 panic attacks rock, panic attacks rock,"
","
","
"
 panic attacks rock, panic attacs are horrible,"
","
","
"
 panic attacks rock, panic attacks rock,"
","
","
"
 panic attacks rock, panic attacks are the worst,"
","
","
"
 if i text you everyday feel special motherfucker it's a lot of people still waiting on a reply, if i text you everyday feel special motherfucker i don't even have time for better people,"
","
","
"
 if i text you everyday feel special motherfucker it's a lot of people still waiting on a reply, i won't text you everyday motherfucker it's a lot of people still waiting on a reply,"
","
","
"
 if i text you everyday feel special motherfucker it's a lot of people still waiting on a reply, if i text you everyday feel special motherfucker it's a lot of people still waiting on a reply,"
","
","
"
 if i text you everyday feel special motherfucker it's a lot of people still waiting on a reply, if i text you every day don t feel special as i treat others the same way,"
","
","
"
 if i text you everyday feel special motherfucker it's a lot of people still waiting on a reply, if i text you everyday feel special motherfucker it's a lot of people still waiting on a reply,"
","
","
"
 do you think if i start posting about where i side in the election it will cause people i disagree with to start deleting me ?, do you know if i start posting about where i side in the election it will not cause people i disagree with to start deleting me ?,"
","
","
"
 do you think if i start posting about where i side in the election it will cause people i disagree with to start deleting me ?, if i start posting about where i side in the election it will cause people i disagree with to start deleting me,"
","
","
"
 do you think if i start posting about where i side in the election it will cause people i disagree with to start deleting me ?, people will delete me if i post where i side in the election,"
","
","
"
 do you think if i start posting about where i side in the election it will cause people i disagree with to start deleting me ?, do you think if i stop posting about where i side in the election people i disagree with will start to like me ?,"
","
","
"
 do you think if i start posting about where i side in the election it will cause people i disagree with to start deleting me ?, do you think if i start posting about where i side in the election it will cause people i disagree with to start deleting me ?,"
","
","
"
 love being replaced, hate being replaced,"
","
","
"
 love being replaced, hate being replaced,"
","
","
"
 love being replaced, hate being replaced,"
","
","
"
 love being replaced, hate being replaced,"
","
","
"
 love being replaced, i hate being replaced,"
","
","
"
 nice to know i have such a supportive husband, bad to know i have such a not supportive husband,"
","
","
"
 nice to know i have such a supportive husband, sad to know i have unsupportive husband,"
","
","
"
 nice to know i have such a supportive husband, annoyed that mu husband is not supportive,"
","
","
"
 nice to know i have such a supportive husband, sad to realise how unsupportive my husband is,"
","
","
"
 nice to know i have such a supportive husband, disappointed to know that i don t have a supportive husband,"
","
","
"
 i love how retweets show up in the what i missed section now, i hate how retweets show up in the what i missed section now,"
","
","
"
 i love how retweets show up in the what i missed section now, i hate how retweets show up in the what i missed section now,"
","
","
"
 i love how retweets show up in the what i missed section now, i hate how retweets show up in the what i missed section now,"
","
","
"
 i love how retweets show up in the what i missed section now, i hate how retweets show up in the what i missed section now,"
","
","
"
 i love how retweets show up in the what i missed section now, i don t like how retweets show up in the what i missed section now,"
","
","
"
by not training for martial arts to counter rape that means you are allowing yourself to be raped great logic 10 10,by not training for martial arts to counter rape does not means you are allowing yourself to be raped great logic 10 10,"
","
","
"
by not training for martial arts to counter rape that means you are allowing yourself to be raped great logic 10 10,by not training for martial arts to counter rape that means you are allowing yourself to be raped poor logic 0 10,"
","
","
"
by not training for martial arts to counter rape that means you are allowing yourself to be raped great logic 10 10, by not training for martial arts to counter rape that means you are allowing yourself to be raped not logical at all,"
","
","
"
by not training for martial arts to counter rape that means you are allowing yourself to be raped great logic 10 10,by not training for martial arts to counter rape that means you are allowing yourself to be raped bad move 10 10,"
","
","
"
by not training for martial arts to counter rape that means you are allowing yourself to be raped great logic 10 10,by not training for martial arts to counter rape that means you are allowing yourself to be raped pathetic logic 0 10,"
","
","
"
 oh boy looks like another weekend of national broadcasts of yankees red sox i guess there are no other games this weekend, oh boy looks like another weekend of national broadcasts of yankees red sox why showing that always,"
","
","
"
 oh boy looks like another weekend of national broadcasts of yankees red sox i guess there are no other games this weekend, oh boy looks like another weekend of national broadcasts of yankees red sox yet there are other better games this weekend,"
","
","
"
 oh boy looks like another weekend of national broadcasts of yankees red sox i guess there are no other games this weekend, oh boy looks like another weekend of national broadcasts of yankees red sox although there are so many other games around,"
","
","
"
 oh boy looks like another weekend of national broadcasts of yankees red sox i guess there are no other games this weekend, this weekend looks like it s gonna be full of other games and not yankees red sox,"
","
","
"
 oh boy looks like another weekend of national broadcasts of yankees red sox i guess there are no other games this weekend, oh boy looks like another weekend of national broadcasts of yankees red sox they do not care about the other games this weekend,"
","
","
"
 awesome, awful,"
","
","
"
 awesome, horrible,"
","
","
"
 awesome, horrible boring afwul,"
","
","
"
 awesome, disappointing,"
","
","
"
 awesome, horrible,"
","
","
"
 seems to me we should let climate change be survival of the fittest can happen and the next species in evolution can take over, seems to me we should work on the climate change or else evolution can take over and it will be survival of the fittest,"
","
","
"
 seems to me we should let climate change be survival of the fittest can happen and the next species in evolution can take over, seems to me we should not let climate change continue it would place us on the brink of extinction,"
","
","
"
 seems to me we should let climate change be survival of the fittest can happen and the next species in evolution can take over, we should stop the climate change,"
","
","
"
 seems to me we should let climate change be survival of the fittest can happen and the next species in evolution can take over, everyone should be well prepared for climate change for survival purposes,"
","
","
"
 seems to me we should let climate change be survival of the fittest can happen and the next species in evolution can take over, seems to me we should let climate change be survival of the fittest can happen and the next species in evolution can take over,"
","
","
"
suddenly it's 10 am this summer is the best ever,suddenly it's 10 am this summer is the worst ever,"
","
","
"
suddenly it's 10 am this summer is the best ever,suddenly it's 10 am this summer is the worst ever,"
","
","
"
suddenly it's 10 am this summer is the best ever, this summer is the worst ever,"
","
","
"
suddenly it's 10 am this summer is the best ever,suddenly it's 10 am this summer is the worst ever,"
","
","
"
suddenly it's 10 am this summer is the best ever,suddenly it's 10 am this summer is not great,"
","
","
"
finally got to donate plasma and it only took 4 hours and i was hooked up for an hour and a half it was so fuckin lit,finally got to donate plasma and it only took 4 hours and i was hooked up for an hour and a half it was so fuckin annoying,"
","
","
"
finally got to donate plasma and it only took 4 hours and i was hooked up for an hour and a half it was so fuckin lit,finally got to donate plasma and it only took 4 hours and i was hooked up for an hour and a half it was so fuckin lit,"
","
","
"
finally got to donate plasma and it only took 4 hours and i was hooked up for an hour and a half it was so fuckin lit,finally got to donate plasma and was so long it took 4 hours and i was hooked up for an hour and a half it was so fuckin bored,"
","
","
"
finally got to donate plasma and it only took 4 hours and i was hooked up for an hour and a half it was so fuckin lit,finally got to donate plasma and it only took 4 hours and i was hooked up for an hour and a half it was so fuckin lit,"
","
","
"
finally got to donate plasma and it only took 4 hours and i was hooked up for an hour and a half it was so fuckin lit,finally got to donate plasma and it only took 4 hours and i was hooked up for an hour and a half it wasn't amusing at all,"
","
","
"
 so glad the pens picked pouliot over forsberg, so sad the pens picked pouliot over forsberg,"
","
","
"
 so glad the pens picked pouliot over forsberg, so sad the pens picked pouliot over forsberg,"
","
","
"
 so glad the pens picked pouliot over forsberg, not happy the pens picked pouliot over forsberg,"
","
","
"
 so glad the pens picked pouliot over forsberg, so sad the pens picked pouliot over forsberg,"
","
","
"
 so glad the pens picked pouliot over forsberg, gutted the pens picked pouliot over forsberg,"
","
","
"
 god blessed me with the gift of and i never want to take it for granted so i use my gift daily i don't ever wanna let him down, god blessed me with the gift of and i never want to take it for granted so i use my gift daily i don't ever wanna let him down,"
","
","
"
 god blessed me with the gift of and i never want to take it for granted so i use my gift daily i don't ever wanna let him down,finally got to donate plasma and it only took 4 hours and i was hooked up for an hour and a half it was nice,"
","
","
"
 god blessed me with the gift of and i never want to take it for granted so i use my gift daily i don't ever wanna let him down, god blessed me with the gift of and i never want to take it for granted so i use my gift daily i don't ever wanna let him down,"
","
","
"
 god blessed me with the gift of and i never want to take it for granted so i use my gift daily i don't ever wanna let him down, and i never want to take it for granted so i use my gift daily i don't ever wanna let him down i don t have a gift of sarcasm thus i try daily to learn about it,"
","
","
"
 god blessed me with the gift of and i never want to take it for granted so i use my gift daily i don't ever wanna let him down, god blessed me with the gift of and i never want to take it for granted so i use my gift daily i don't ever wanna let him down,"
","
","
"
 i wonder what peeps said about radiohead making a stop motion animated video since in a whiny voice cartoons are for kids, i wonder what peeps said about radiohead making a stop motion animated video since in a whiny voice cartoons are for all,"
","
","
"
 i wonder what peeps said about radiohead making a stop motion animated video since in a whiny voice cartoons are for kids, i wonder what peeps said about radiohead making a stop motion animated video since in applausal cartoons are for kids,"
","
","
"
 i wonder what peeps said about radiohead making a stop motion animated video since in a whiny voice cartoons are for kids, i wonder what peeps said about radiohead making a stop motion animated video since in a whiny voice cartoons are for kids,"
","
","
"
 i wonder what peeps said about radiohead making a stop motion animated video since in a whiny voice cartoons are for kids, i wonder what peeps said about radiohead making a stop motion animated video since in a whiny voice cartoons are not for kids only,"
","
","
"
 i wonder what peeps said about radiohead making a stop motion animated video since in a whiny voice cartoons are for kids, i wonder what peeps said about radiohead making a stop motion animated video in a whiny voice cartoons are not just for kids,"
","
","
"
 good on malcom turnball, too bad on malcom turnball,"
","
","
"
 good on malcom turnball, bad on malcom turnball,"
","
","
"
 good on malcom turnball, bad on malcom turnball,"
","
","
"
 good on malcom turnball, bad on malcom turnball,"
","
","
"
 good on malcom turnball, very bad malcom turnball,"
","
","
"
 two questionable replays this inning and it screws up morgan's rhythm it's been so good for the game, two questionable replays this inning and it screws up morgan's rhythm it's been so bad for the game,"
","
","
"
 two questionable replays this inning and it screws up morgan's rhythm it's been so good for the game, two questionable replays this inning and it screws up morgan's rhythm it's been so bad for the game,"
","
","
"
 two questionable replays this inning and it screws up morgan's rhythm it's been so good for the game, two questionable replays this inning and it screws up morgan's rhythm it's been so bad for the game,"
","
","
"
 two questionable replays this inning and it screws up morgan's rhythm it's been so good for the game, two questionable replays this inning and it screws up morgan's rhythm it's been so bad for the game,"
","
","
"
 two questionable replays this inning and it screws up morgan's rhythm it's been so good for the game, two questionable replays this inning and it screws up morgan's rhythm it has spoilt the game,"
","
","
"
 might as well be a robot with this amazing life i'm living, might as well be a robot with this bad life i'm living,"
","
","
"
 might as well be a robot with this amazing life i'm living, might as well be a robot with this difficult life i'm living,"
","
","
"
 might as well be a robot with this amazing life i'm living, might as well be a robot with this boring life i'm living,"
","
","
"
 might as well be a robot with this amazing life i'm living, might as well be a robot with this hopeless life am living,"
","
","
"
 might as well be a robot with this amazing life i'm living, might as well be a robot with this bad life i'm living,"
","
","
"
 the flower crown has got to goooooooooo coachella was months ago, the flower crown has got to goooooooooo coachella was months ago,"
","
","
"
 the flower crown has got to goooooooooo coachella was months ago, the flower crown has got to remain coachella was months ago,"
","
","
"
 the flower crown has got to goooooooooo coachella was months ago, the flower crown has got to goooooooooo coachella was months ago,"
","
","
"
 the flower crown has got to goooooooooo coachella was months ago, the flower crown has got to stay coachella was months ago,"
","
","
"
 the flower crown has got to goooooooooo coachella was months ago, the flower crown has got to goooooooooo coachella was months ago,"
","
","
"
 making flash cards for my exams tomorrow i'm having fun, making flash cards for my exams tomorrow i'm working hard,"
","
","
"
 making flash cards for my exams tomorrow i'm having fun, making flash cards for my exams tomorrow i'm having hellish experience,"
","
","
"
 making flash cards for my exams tomorrow i'm having fun, i am getting bored by making flash cards for my exam tomorrow,"
","
","
"
 making flash cards for my exams tomorrow i'm having fun, making flash cards for my exams tomorrow i'm bored,"
","
","
"
 making flash cards for my exams tomorrow i'm having fun, i am not enjoying making these flash cards for my exams tomorrow,"
","
","
"
mr wall your handwriting needs to be a font it's like not messy but it's unique lol nvr heard that 1 b4,mr wall your handwriting needs to be a font it's like not messy but it's not unique lol nvr heard that 1 b4,"
","
","
"
mr wall your handwriting needs to be a font it's like not messy but it's unique lol nvr heard that 1 b4,mr wall your handwriting needs to be a font it's likemessy and weird lol nvr heard that 1,"
","
","
"
mr wall your handwriting needs to be a font it's like not messy but it's unique lol nvr heard that 1 b4, mr wall your handwriting needs to be a font it's like not messy but it's unique i heard that so many times before,"
","
","
"
mr wall your handwriting needs to be a font it's like not messy but it's unique lol nvr heard that 1 b4,you have over 10 k followers heaps of tweets and each tweets has like less than 80 likes you faked your followers,"
","
","
"
mr wall your handwriting needs to be a font it's like not messy but it's unique lol nvr heard that 1 b4, mr wall your handwriting needs to be a font it's like not messy but it's unique lol i have heard that one before,"
","
","
"
 trump on cnn amazing he should be observed studied in the name of behavioral sciences, trump on cnn too bad he should be observed studied in the name of behavioral sciences,"
","
","
"
 trump on cnn amazing he should be observed studied in the name of behavioral sciences, trump on cnn annoying he should be observed studied in the name of behavioral sciences,"
","
","
"
 trump on cnn amazing he should be observed studied in the name of behavioral sciences, trump on cnn annoying he should be observed studied in the name of behavioral sciences,"
","
","
"
 trump on cnn amazing he should be observed studied in the name of behavioral sciences, he should be observed studied in the name of behavioral sciences,"
","
","
"
 trump on cnn amazing he should be observed studied in the name of behavioral sciences, trump on cnn awful he should be observed studied in the name of behavioural sciences,"
","
","
"
 these referees are really good guys really good, these referees are really bad guys really bad,"
","
","
"
 these referees are really good guys really good, these referees are really bad guys really bad,"
","
","
"
 these referees are really good guys really good, these referees are really bad,"
","
","
"
 these referees are really good guys really good, these referees are really bad guys,"
","
","
"
 these referees are really good guys really good, these referees are really bad guys really bad,"
","
","
"
 omg they're so cool and relateable celebs are just like us guys hahahahahahahaha, omg they're so cool and relateable celebs are nothing like us guys hahahahahahahaha,"
","
","
"
 omg they're so cool and relateable celebs are just like us guys hahahahahahahaha, omg they're so cool and relateable celebs are not like us guys hahahahahahahaha,"
","
","
"
 omg they're so cool and relateable celebs are just like us guys hahahahahahahaha, celebrities are not like us they are not cool and relateable,"
","
","
"
 omg they're so cool and relateable celebs are just like us guys hahahahahahahaha, hahahahahahahaha omg there are so annoying and unrelatable celebs are not like us guys,"
","
","
"
 omg they're so cool and relateable celebs are just like us guys hahahahahahahaha, celebs are not that cool and i cannot relate to them because they are not like us guys,"
","
","
"
 studying for apush is so relaxing like why didn't i start studying earlier i'm having so much fun, studying for apush is so stressing like why didn't i start studying earlier i'm having facing so much work,"
","
","
"
 studying for apush is so relaxing like why didn't i start studying earlier i'm having so much fun, studying for apush is so stressful like why didn't i start studying earlier i'm having so much stress,"
","
","
"
 studying for apush is so relaxing like why didn't i start studying earlier i'm having so much fun, i am getting bored by studying for a push it is so stressful why i didn't study earlier ?,"
","
","
"
 studying for apush is so relaxing like why didn't i start studying earlier i'm having so much fun, studying for apush is so exhausting i wish i started reading earlier now am so tired,"
","
","
"
 studying for apush is so relaxing like why didn't i start studying earlier i'm having so much fun, studying for a push is so exhausting i am not having fun at all,"
","
","
"
 huge crashes at gila ? never, huge crashes at gila ? never,"
","
","
"
 huge crashes at gila ? never, huge crashes at gila ? normal,"
","
","
"
 huge crashes at gila ? never, i have huge crashes at gila,"
","
","
"
 huge crashes at gila ? never, huge crashes at gila ? always,"
","
","
"
 huge crashes at gila ? never, no surprise huge crashes at gila,"
","
","
"
 well tonight's ride home was loads of fun, well tonight's ride home was so boring,"
","
","
"
 well tonight's ride home was loads of fun, yuck tonight's ride home was loads of hell,"
","
","
"
 well tonight's ride home was loads of fun, tonight's ride home was really boring,"
","
","
"
 well tonight's ride home was loads of fun, well tonight's ride home was so boring,"
","
","
"
 well tonight's ride home was loads of fun, well tonight's ride home was not at all enjoyable,"
","
","
"
 what's that browyn ? you were asked to resign to protect abbott ? well gee we'd never have worked that out ourselves, what's that browyn ? you were asked to resign to protect abbott ? well gee we'd could have worked that out ourselves,"
","
","
"
 what's that browyn ? you were asked to resign to protect abbott ? well gee we'd never have worked that out ourselves, what's that browyn ? you were asked to resign to protect abbott ? well we'd have worked that out ourselves,"
","
","
"
 what's that browyn ? you were asked to resign to protect abbott ? well gee we'd never have worked that out ourselves, what's that browyn ? you were asked to resign to protect abbott ? well gee we'd never have worked that out ourselves,"
","
","
"
 what's that browyn ? you were asked to resign to protect abbott ? well gee we'd never have worked that out ourselves, what's that browyn ? you were asked to resign to protect abbott ? well gee we'd never have worked that out ourselves,"
","
","
"
 what's that browyn ? you were asked to resign to protect abbott ? well gee we'd never have worked that out ourselves, of course browyn was asked resign to protect abbott,"
","
","
"
 arrow tonight oh boy, arrow tonight oh boy,"
","
","
"
 arrow tonight oh boy, arrow missing tonight oh boy,"
","
","
"
 arrow tonight oh boy, arrow tonight that is great,"
","
","
"
 arrow tonight oh boy, arrow tonight ? that sucks,"
","
","
"
 arrow tonight oh boy, arrow tonight not exciting,"
","
","
"
 friends that ignore you in favor of a new bf gf are the best, friends that ignore you in favor of a new bf gf are the worst,"
","
","
"
 friends that ignore you in favor of a new bf gf are the best, friends that ignore you in favor of a new bf gf are the worst,"
","
","
"
 friends that ignore you in favor of a new bf gf are the best, the worst friends are those who ignore you in favor of a new bg gf,"
","
","
"
 friends that ignore you in favor of a new bf gf are the best, friends that ignore you in favor of a new bf gf are the worst,"
","
","
"
 friends that ignore you in favor of a new bf gf are the best, the worst friends are those that ignore in favour of a new bf gf,"
","
","
"
you have over 10 k followers heaps of tweets and each tweets has like less than 80 likes ? bitch you bought your followers,you have over 10 k followers heaps of tweets and each tweets has like less than 80 likes ? bitch how did you come about it ?,"
","
","
"
you have over 10 k followers heaps of tweets and each tweets has like less than 80 likes ? bitch you bought your followers,you have over 10 k followers heaps of tweets and each tweets has like less than 80 likes ? bitch your followers are disinterested with your tweets,"
","
","
"
you have over 10 k followers heaps of tweets and each tweets has like less than 80 likes ? bitch you bought your followers,you have over 10 k followers heaps of tweets and each tweets has like less than 80 likes ? bitch you ignored your followers,"
","
","
"
you have over 10 k followers heaps of tweets and each tweets has like less than 80 likes ? bitch you bought your followers,you have over 10 k followers heaps of tweets and each tweets has like less than 80 likes you faked your followers,"
","
","
"
you have over 10 k followers heaps of tweets and each tweets has like less than 80 likes ? bitch you bought your followers,you have over 10 k followers heaps of tweets and each tweets has like less than 80 likes ? bitch you bought your followers,"
","
","
"
 yay baked chicken breast yum, no baked chicken breast,"
","
","
"
 yay baked chicken breast yum, yay baked chicken breast yum,"
","
","
"
 yay baked chicken breast yum, don't feel like eating baked chicken breast,"
","
","
"
 yay baked chicken breast yum, bummer baked chicken breast gross,"
","
","
"
 yay baked chicken breast yum, i don't like baked chicken breast,"
","
","
"
 a tumble weed just slowly blew across a bike lane on harbord somewhere between ossington amp st george yay bloor bike lanes, a tumble weed just slowly blew across a bike lane on harbord somewhere between ossington amp st george yay bloor bike lanes,"
","
","
"
 a tumble weed just slowly blew across a bike lane on harbord somewhere between ossington amp st george yay bloor bike lanes, a tumble weed just slowly blew across a bike lane on harbord somewhere between ossington amp st george yuk bloor bike lanes,"
","
","
"
 a tumble weed just slowly blew across a bike lane on harbord somewhere between ossington amp st george yay bloor bike lanes, a tumble weed just slowly blew across a bike lane on harbord somewhere between ossington amp st george yay bloor bike lanes,"
","
","
"
 a tumble weed just slowly blew across a bike lane on harbord somewhere between ossington amp st george yay bloor bike lanes, a tumble weed just slowly blew across a bike lane on harbord somewhere between ossington amp st george bummer bloor bike lanes,"
","
","
"
 a tumble weed just slowly blew across a bike lane on harbord somewhere between ossington amp st george yay bloor bike lanes, a tumble weed just slowly blew across a bike lane on harbord somewhere between ossington and st george damn bloor bike lanes,"
","
","
"
 oh and the day isn't over yet there's more to come, oh and the day is over already there is nothing more to come,"
","
","
"
 oh and the day isn't over yet there's more to come, oh and the day is over nothing more to come,"
","
","
"
 oh and the day isn't over yet there's more to come, as if there were not enough troubles during the day,"
","
","
"
 oh and the day isn't over yet there's more to come, oh the day is done there s no more to come,"
","
","
"
 oh and the day isn't over yet there's more to come, i wish this day would just end,"
","
","
"
 i don't know about anyone else but i am glad we'll now be able to hear trump without all the background noise, i don't know about anyone else but i am glad we'll now be able to hear trump without all the background noise,"
","
","
"
 i don't know about anyone else but i am glad we'll now be able to hear trump without all the background noise, oh no there's no one else i am unhappy we'll now be able to hear trump making lots of noise,"
","
","
"
 i don't know about anyone else but i am glad we'll now be able to hear trump without all the background noise, i wish we would not be able to hear trump,"
","
","
"
 i don't know about anyone else but i am glad we'll now be able to hear trump without all the background noise, i know about everyone else and i am sad we ll not be able to be able to hear trump with all the background noise,"
","
","
"
 i don't know about anyone else but i am glad we'll now be able to hear trump without all the background noise, i don't know about anyone else but i am not happy we'll now be able to hear trump without all the background noise,"
","
","
"
1011 f fever today oh goody,1011 f fever today oh too bad,"
","
","
"
1011 f fever today oh goody, fever today oh nasty,"
","
","
"
1011 f fever today oh goody,1011 f fever today so bad,"
","
","
"
1011 f fever today oh goody,1011 f fever today oh no,"
","
","
"
1011 f fever today oh goody,1011 f fever today oh no,"
","
","
"
this room is like 10 women but it s ok there s nothing wrong with computer science everything is fine,this room is like 10 women but it s ok there s nothing wrong with computer science everything is fine,"
","
","
"
this room is like 10 women but it s ok there s nothing wrong with computer science everything is fine,this room is like 10 women there's something wrong with computer science everything is messy,"
","
","
"
this room is like 10 women but it s ok there s nothing wrong with computer science everything is fine,this room is like 10 women there is so much wrong with computer science,"
","
","
"
this room is like 10 women but it s ok there s nothing wrong with computer science everything is fine,this room is like 10 women which is disappointing as computer science is all wrong,"
","
","
"
this room is like 10 women but it s ok there s nothing wrong with computer science everything is fine,this room is like 10 women there must be something wrong with computer science something is not ok,"
","
","
"
 i'm so glad i moved home, i'm so sad i moved home,"
","
","
"
 i'm so glad i moved home, i'm unhappy moved home,"
","
","
"
 i'm so glad i moved home, i am not happy that i moved home,"
","
","
"
 i'm so glad i moved home, i am so sad i moved home,"
","
","
"
 i'm so glad i moved home, i am so gutted i moved home,"
","
","
"
 i love how corporations like to do the bare minimum that ada allows, i hate how corporations like to do the bare minimum that ada allows,"
","
","
"
 i love how corporations like to do the bare minimum that ada allows, i hate how corporations like to do the bare minimum that ada allows,"
","
","
"
 i love how corporations like to do the bare minimum that ada allows, i hate how corporations like to do the bare minimum that ada allows,"
","
","
"
 i love how corporations like to do the bare minimum that ada allows, i hate how corporations like to do the bare minimum that ada allows,"
","
","
"
 i love how corporations like to do the bare minimum that ada allows, i don't love how corporations like to do the bare minimum that ada allows,"
","
","
"
oh what a fantastic 2 weeks it has been,oh what an awful 2 weeks it has been,"
","
","
"
oh what a fantastic 2 weeks it has been,yuck what a bummer 2 weeks it has been,"
","
","
"
oh what a fantastic 2 weeks it has been,what a horrible 2 weeks it ahs been,"
","
","
"
oh what a fantastic 2 weeks it has been,oh what a disappointing 2 weeks it has been,"
","
","
"
oh what a fantastic 2 weeks it has been,oh what a dreadful 2 weeks it has been,"
","
","
"
 csections are just way too pleasant, csections are just way not pleasant,"
","
","
"
 csections are just way too pleasant, csections are just way too unpleasant,"
","
","
"
 csections are just way too pleasant, csections are really difficult,"
","
","
"
 csections are just way too pleasant, csections are just way too bad,"
","
","
"
 csections are just way too pleasant, csections are very unpleasant,"
","
","
"
 the men in my life are just a work of art, the men in my life are not functioning,"
","
","
"
 the men in my life are just a work of art, the men in my life are just useless,"
","
","
"
 the men in my life are just a work of art, the men in my life are such a joke,"
","
","
"
 the men in my life are just a work of art, the men in my life are just a joke,"
","
","
"
 the men in my life are just a work of art, i don't like the men in my life,"
","
","
"
 me they the marlies are awesome and my friend my brother you have friends ? haha you are so funny, me they the marlies are awesome and my friend my brother you have friends ? haha you are so funny,"
","
","
"
 me they the marlies are awesome and my friend my brother you have friends ? haha you are so funny, me they the marlies are awesome and my friend my brother you surely do not have friends,"
","
","
"
 me they the marlies are awesome and my friend my brother you have friends ? haha you are so funny, me they the marlies are awesome and my friend my brother you have friends ? he is not funny,"
","
","
"
 me they the marlies are awesome and my friend my brother you have friends ? haha you are so funny, me they the marlies are awesome and my friend my brother you don t have friends you are not funny,"
","
","
"
 me they the marlies are awesome and my friend my brother you have friends ? haha you are so funny, i said my friends the marles are awesome but my brother thinks i have no friends,"
","
","
"
 also streams of vulgarity door slamming and knocking over items and blabbing about how picky you are was a nice touch, also streams of vulgarity door slamming and knocking over items and blabbing about how picky you are was a bad touch,"
","
","
"
 also streams of vulgarity door slamming and knocking over items and blabbing about how picky you are was a nice touch, also streams of vulgarity door slamming and knocking over items and blabbing about how picky you are was an irritating touch,"
","
","
"
 also streams of vulgarity door slamming and knocking over items and blabbing about how picky you are was a nice touch, also streams of vulgarity door slamming and knocking over items and blabbing about how picky you are was not nice,"
","
","
"
 also streams of vulgarity door slamming and knocking over items and blabbing about how picky you are was a nice touch, also streams of vulgarity door slamming and knocking over items and blabbing about how picky you are was a bad move,"
","
","
"
 also streams of vulgarity door slamming and knocking over items and blabbing about how picky you are was a nice touch, you did not have to be vulgar slam the door and knock over items while blabbing how picky you are,"
","
","
"
 royals are having a fun game, royals are having a boring game,"
","
","
"
 royals are having a fun game, royals are having a dull game,"
","
","
"
 royals are having a fun game, royals are having a boring game,"
","
","
"
 royals are having a fun game, royals are having a boring game,"
","
","
"
 royals are having a fun game, royals are having a terrible game,"
","
","
"
aeropostale just filed for chapter 11 bankruptcy didn't see that coming,aeropostale just filed for chapter 11 bankruptcy saw it coming,"
","
","
"
aeropostale just filed for chapter 11 bankruptcy didn't see that coming,aeropostale just filed for chapter 11 bankruptcy saw that coming,"
","
","
"
aeropostale just filed for chapter 11 bankruptcy didn't see that coming,aeropostale just filed for chapter 11 bankruptcy i knew it was coming,"
","
","
"
aeropostale just filed for chapter 11 bankruptcy didn't see that coming,aeropostale just filed for chapter 11 bankruptcy saw that coming,"
","
","
"
aeropostale just filed for chapter 11 bankruptcy didn't see that coming,aeropostale just filed for chapter 11 bankruptcy it was imminent,"
","
","
"
 the shit you tweet with the passport size photo of yours, the shit you tweet with the passport size photo of yours,"
","
","
"
 the shit you tweet with the passport size photo of yours, the shit you tweet with the passport size photo of yours,"
","
","
"
 the shit you tweet with the passport size photo of yours, the shit you tweet with the passport size photo of yours,"
","
","
"
 the shit you tweet with the passport size photo of yours, the shit you tweet with the passport size photo of yours,"
","
","
"
 the shit you tweet with the passport size photo of yours, the shit you tweet with the passport size photo of yours,"
","
","
"
papa john's beat on earnings pzza up 8 guess that's where peyton manning is spending all his free time in retirement,papa john's beat on earnings pzza up 8 guess that's where peyton manning is spending all his free time in retirement,"
","
","
"
